,Type,First Flight,Airline service entry,End of Production,Number Built,Year Retired[g],Engines,In Service
0,Airbus A220,2013,2016,in production,179 ,,2,146
1,Airbus A320 family,1986,1987,in production,10066 ,,2,8374
2,Airbus A330,1992,1994,in production,1521 ,,2,1303
3,Airbus A350 XWB,2013,2014,in production,443 ,,2,436
4,Antonov An-148/An-158,2004,2009,in production,35,,2,8
5,Boeing 737,1967,1968,in production,10636 ,,2,7649
6,Boeing 747,1969,1970,Discontinued. Production will be fully halted in 2022.,1562 ,,4,481
7,Boeing 767,1981,1982,in production,1219 ,,2,764
8,Boeing 777,1994,1995,in production,1656 ,,2,1483
9,Boeing 787 Dreamliner,2009,2011,in production,992 ,,2,961
10,Comac ARJ21 Xiangfeng,2008,2015,in production,52,,2,31
11,Comac C919,2017,2021 ,to be introduced,5,,2,
12,CRAIC CR929,2025-2026 ,2028-2029 ,to be introduced,,,2,
13,Embraer E-Jet family,2002,2004,in production,1594 ,,2,1443
14,Embraer E-Jet E2 family,2016,2018,in production,30 ,,2,23
15,Ilyushin Il-96,1988,1992,in production,31 ,,4,4
16,Irkut MC-21,2017,2021,to be introduced,5,,2,
17,Mitsubishi SpaceJet,2015,2021 ,to be introduced,5 ,,2,
18,Sukhoi Superjet SSJ100,2008,2011,in production,214 ,,2,131
19,Tupolev Tu-204/Tu-214,1989,1996,in production,89 ,,2,18
20,Airbus A300,1972,1974,2007,561,,2,197
21,Airbus A310,1982,1983,1998,255,,2,26
22,Airbus A318,2002,2003,2013,80,,2,24
23,Airbus A340,1991,1993,2011,380 ,,4,148
24,Airbus A380,2005,2007,2021,249 ,,4,237
25,Boeing 727,1963,1964,1984,1832,,3,44
26,Boeing 757,1982,1983,2004,1050,,2,683
27,Boeing 717,1997,1999,2006,156,,2,145
28,Bombardier CRJ100/CRJ200/CRJ440,1991,1992,2006,1021,,2,621
29,Bombardier CRJ700/CRJ705/CRJ900/CRJ1000,1999,2001,2020,924,,2,825
30,British Aerospace BAe146/Avro RJ,1981,1983,2001,387,,4,204
31,Douglas DC-8,1958,1959,1972,556,,4,9
32,Embraer ERJ family,1995,1996,2020,1231,,2,610
33,Fairchild-Dornier 328JET,1998,1999,2002,110,,2,18
34,Fokker 100,1986,1988,1997,283,,2,109
35,Fokker 70,1993,1994,1997,48,,2,35
36,Ilyushin Il-62,1963,1967,1995,292,,4,5
37,McDonnell Douglas DC-9,1965,1965,1982,976,,2,34
38,McDonnell Douglas DC-9 Super 80/MD-80,1979,1980,1999,1191,,2,250
39,McDonnell Douglas DC-10/MD-10,1970,1971,1988,386,,3,27
40,McDonnell Douglas MD-11,1990,1990,2000,200,,3,120
41,Tupolev Tu-134,1963,1967,1984,854,,2,2
42,Tupolev Tu-154,1968,1972,2013,1026,,3,9
43,Yakovlev Yak-40,1966,1968,1981,1011,,3,20
44,Yakovlev Yak-42,1975,1980,2003,185,,3,28
45,McDonnell Douglas MD-90,1993,1995,2000,116,2020,2,
46,Fokker F28 Fellowship,1967,1969,1987,241,2020,2,
47,VFW-Fokker 614,1971,1975,1978,19,2012,2,
48,Vickers VC10,1962,1964,1970,54,2013,4,
50,Tupolev Tu-104,1955,1956,1960,201,1981,2,
52,Tupolev Tu-124,1960,1962,1965,164,1991,2,
53,Tupolev Tu-144,1968,1977,1983,16,1999,4,
55,Sud Aviation SE-210 Caravelle,1955,1959,1973,282,2005,2,
56,Lockheed L-1011 TriStar,1970,1972,1984,250,2020 ,3,
57,Ilyushin Il-86,1976,1980,1995,106,2011 ,4,
58,Hawker Siddeley HS121 Trident,1962,1964,1978,117,1995,3 ,
59,Convair 880,1959,1960,1962,65,2000,4,
60,Convair 990 Coronado,1961,1962,1963,37,1994,4,
61,Dassault Mercure 100,1971,1974,1975,12,1995,2,
62,de Havilland DH 106 Comet,1949,1952,1964,112,1997,4,
63,Boeing 720,1959,1960,1967,154,2010,4,
66,BAC One-Eleven,1963,1965,1989,244,2019,2,
67,Rombac 1-11,1982,1983,1993,9,2019,2,
68,Boeing 707,1957,1958,1979,865,2019 ,4,
69,Aérospatiale-BAC Concorde,1969,1976,1979,20,2003,4,
